title,author,year_written,year_published
"Світлична, Надія. Книжкова закладка вишита у Мордовії. 1970-ті роки. Зразок прикладного мистецтва.",,1970,
"Стус, Василь. Веселий цвинтар, 1970. рукопис самвидаву.",,1970,
"Стасів-Калинець, Ірина. Оранта, 1970. Рукопис самвидаву.",,1970,
The Ukrainian Herald: Underground Journal from Ukraine. Vol. І-ІІ,,1971,
Two dolls within which photo-films with the images of Opanas Zalivakha’s paintings was smuggled from Soviet Ukraine to the US,,1975,
"Заливаха, Опанас. Зона, 1972 р. Живопис.",,1972,
"ДВА ЛИСТИ МИХАЙЛИНИ КОЦЮБИНСЬКОЇ ДО ЗІНИ ГЕНИК-БЕРЕЗОВСЬКОЇ, 1971.",,1971,
"Стус, Василь. Поеми передані з України, 1979 р. Манускрипт",,1979,
"Листи від В’ячеслава Чорновола до Ірини Стасів-Калинець, 1978.",,1978,
"Василь Стус. Час творчості, українською, 1972. Рукопис.",,1972,
"Стус, Василь. ""Мені зоря сіяла нині вранці…"" Час творчості, українською, 1972. Рукопис.",,1972,
"Світлична, Надія. Сукня з прикрашеним вишивкою комірцем, 1970-ті роки. Одяг.",,1973,
"Стус Василь. Контейнер поезії, вивезений з сибірських трудових таборів 1970-х років",,1970,
Сучасні дослідження з німецької історії,,1973,
Рідна природа,,1971,
Ї,,1989,
bash,,1989,
Збудінне,,1989,
Київ (журнал),,1983,
Пам'ятки України: історія та культура,,1989,
Ірпінський вісник,,1988,
Дзвін (газета),,1989,
Черлені щити,Малик Володимир Кирилович,1982,
"Я, Богдан",Загребельний Павло Архипович,1983,
Зустрічі,,1984,
«Сторінки історії»,,1989,
Катедра,,1988,
"Заливаха, Опанас. Більярд (Табірне), 1989. Живопис.",,1989,
"Samizdat diary of Iuri Shukhevych written on cigarette paper, which he passed from labour camp",,1980,
Oral History Archive at the KARTA Centre Foundation,,1987,
Vytautas Skuodis Collection,,1988,
Кіно-коло,,1997,1997.0
Кіно-коло,,1997,2024.0
Автоспорт (журнал),,1996,
Актуальні проблеми держави і права,,1994,
Банківська справа (журнал),,1995,
Божий сіяч,,1995,
Бористен,,1991,
Нова Польща,,1999,
Товариство українців у Фінляндії,,1997,
ПіК,,1999,
Пізнайко,,1996,
Пошта Mail.Ru,,1998,
Урядовий кур'єр,,1990,
Схід (журнал),,1995,
Україна молода,,1991,
Український нейрохірургічний журнал,,1995,
Хортиця (телекомпанія),,1991,
Бібліотечний вісник,,1993,
Ветеринарна медицина України,,1996,
Вечірній Васильків,,1992,
Військо України (журнал),,1992,
Вісник КНТЕУ,,1998,
Вісті Донецького гірничого інституту,,1995,
Віче (журнал),,1992,
Галицька брама,,1994,
Галичина (журнал),,1997,
Геодинаміка (журнал),,1995,
Дзеркало тижня,,1994,
Комсомольская правда в Украине,,1996,
Все про бухгалтерський облік,,1993,
Ukr.net,,1998,
Український футбол,,1990,
Новий канал,,1998,
Інтер,,1996,
2000 (газета),,1999,
CREDO (часопис),,1992,
